"","Sample_ID","IMIC_Sample_ID","Extraction_Sample_ID","Country","Forest_Stand","Plot_ID","Longitude","Latitude","Soil_Horizon","Soil_Horizon_depth_ranges","Soil_depth_horizon_in_cm","C_in_g_per_m_square","N_in_g_per_m_square","CN_ratio_g_per_m_square","empty.F50","wet.F50","dry.F50","ph_stand_ranges","elevation_stand_ranges","slope_stand_ranges","aspect_stand_ranges","mean_annual_precipitation_stand_ranges","mean_annual_temp_stand_ranges","stand_area","mean_height_of_dominant_tree_in_stand","Total_C_in_Mg_per_ha","richness","shannon","evenness"
"1","HOF001","Bad_01_01_FH","BAD_1","Slovakia","Badin","Bad_01_01",19.0531825,48.6880634,"FH","FH",4.5,362.4369044,13.84291705,26.18211921,13.133,17.162,15.052,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,466,4.65647421118285,0.757866784707832
"2","HOF002","Bad_01_01_1","BAD_2","Slovakia","Badin","Bad_01_01",19.0531825,48.6880634,"1","0_10",10,2913.463606,182.4038106,15.97260274,13.143,29.515,24.34,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,391,4.13521534744586,0.692815874439659
"3","HOF003","Bad_01_01_2","BAD_3","Slovakia","Badin","Bad_01_01",19.0531825,48.6880634,"2","10_20",20,2201.044581,164.5998556,13.37209302,13.221,34.129,28.931,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,311,3.96991149431038,0.691647164810885
"4","HOF004","Bad_01_01_3","BAD_4","Slovakia","Badin","Bad_01_01",19.0531825,48.6880634,"3","20_40",40,2278.161212,160.4338882,14.2,13.249,35.714,30.798,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,237,3.42482119291763,0.626332027176033
"5","HOF005","Bad_01_01_4","BAD_5","Slovakia","Badin","Bad_01_01",19.0531825,48.6880634,"4","40_80",80,2337.138924,184.95344,12.63636364,13.168,37.306,31.692,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,375,4.15861368342772,0.701647644192899
"6","HOF006","Bad_01_02_FH","BAD_6","Slovakia","Badin","Bad_01_02",19.0535446,48.6880856,"FH","FH",3.62,481.8614457,18.73892864,25.71446078,13.154,18.577,15.851,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,457,4.33885143551102,0.708420527004179
"7","HOF007","Bad_01_02_1","BAD_7","Slovakia","Badin","Bad_01_02",19.0535446,48.6880856,"1","0_10",10,2248.483307,140.7712533,15.97260274,13.184,32.711,26.879,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,397,4.37845546980647,0.731701553029179
"8","HOF008","Bad_01_02_2","BAD_8","Slovakia","Badin","Bad_01_02",19.0535446,48.6880856,"2","10_20",20,1534.48596,110.03097,13.94594595,13.309,35.744,30.578,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,266,3.2589184841128,0.583669855568308
"9","HOF009","Bad_01_02_3","BAD_9","Slovakia","Badin","Bad_01_02",19.0535446,48.6880856,"3","20_40",40,1651.59531,120.3591724,13.72222222,13.178,38.47,33.461,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,256,3.29611108794676,0.594410390099989
"10","HOF010","Bad_01_02_4","BAD_10","Slovakia","Badin","Bad_01_02",19.0535446,48.6880856,"4","40_80",80,1549.74587,118.2009562,13.11111111,13.251,41.172,36.05,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,380,3.67520293647923,0.618703195601658
"11","HOF011","Bad_02_01_FH","BAD_11","Slovakia","Badin","Bad_02_01",19.0539925,48.6890174,"FH","FH",12.12,2476.294454,73.05361412,33.89694656,13.194,25.454,16.934,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,423,3.75630180126646,0.621146125962246
"12","HOF012","Bad_02_01_1","BAD_12","Slovakia","Badin","Bad_02_01",19.0539925,48.6890174,"1","0_10",10,2226.528649,108.8812186,20.44915254,13.678,30.105,23.409,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,305,3.89466140604549,0.680847750636998
"13","HOF013","Bad_02_01_2","BAD_13","Slovakia","Badin","Bad_02_01",19.0539925,48.6890174,"2","10_20",20,1400.98809,72.60595213,19.29577465,13.392,34.11,27.254,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,301,3.73992674176568,0.655310055049417
"14","HOF014","Bad_02_01_3","BAD_14","Slovakia","Badin","Bad_02_01",19.0539925,48.6890174,"3","20_40",40,2535.992304,132.5431518,19.13333333,13.413,38.049,30.907,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,219,3.28238938358159,0.60908251887257
"15","HOF015","Bad_02_01_4","BAD_15","Slovakia","Badin","Bad_02_01",19.0539925,48.6890174,"4","40_80",80,2874.651844,151.993086,18.91304348,13.552,35.43,29.536,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,268,3.27083569775655,0.585019372994085
"16","HOF016","Bad_02_02_FH","BAD_16","Slovakia","Badin","Bad_02_02",19.0536638,48.6887252,"FH","FH",4.12,805.6697538,36.18650933,22.26436782,13.493,20.866,16.47,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,477,4.29747174050419,0.696791284928563
"17","HOF017","Bad_02_02_1","BAD_17","Slovakia","Badin","Bad_02_02",19.0536638,48.6887252,"1","0_10",10,2049.579398,130.3043855,15.72916667,13.538,34.407,28.964,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,373,4.09395504669163,0.691362126204499
"18","HOF018","Bad_02_02_2","BAD_18","Slovakia","Badin","Bad_02_02",19.0536638,48.6887252,"2","10_20",20,1370.261504,98.79628396,13.86956522,13.572,38.195,33.011,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,255,3.31712086558683,0.598621747288143
"19","HOF019","Bad_02_02_3","BAD_19","Slovakia","Badin","Bad_02_02",19.0536638,48.6887252,"3","20_40",40,1497.332602,118.6909989,12.61538462,13.428,38.685,33.697,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,358,3.89787155043735,0.662843242177461
"20","HOF020","Bad_02_02_4","BAD_20","Slovakia","Badin","Bad_02_02",19.0536638,48.6887252,"4","40_80",80,1872.656386,141.6294745,13.22222222,13.527,38.828,33.466,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,388,3.86917714942065,0.649081309104343
"21","HOF021","Bad_03_01_FH","BAD_21","Slovakia","Badin","Bad_03_01",19.05286,48.6865352,"FH","FH",4.25,131.384336,6.929656,18.95971979,13.462,20.595,18.042,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",277.104,538,4.47537018714384,0.711747909773068
"22","HOF022","Bad_03_01_1","BAD_22","Slovakia","Badin","Bad_03_01",19.05286,48.6865352,"1","0_10",10,2729.506165,194.2345211,14.05263158,13.616,32.406,26.981,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",277.104,605,5.0547185635814,0.789155078027516
"23","HOF023","Bad_03_01_2","BAD_23","Slovakia","Badin","Bad_03_01",19.05286,48.6865352,"2","10_20",20,1923.019056,146.748672,13.10416667,13.406,37.889,31.99,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",277.104,504,4.64101197724418,0.745834486763571
"24","HOF024","Bad_03_01_3","BAD_24","Slovakia","Badin","Bad_03_01",19.05286,48.6865352,"3","20_40",40,2899.262172,220.8961655,13.125,13.5,39.511,33.741,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",277.104,499,4.42189566076909,0.711761794103282
"25","HOF025","Bad_03_01_4","BAD_25","Slovakia","Badin","Bad_03_01",19.05286,48.6865352,"4","40_80",80,1438.098129,105.1101623,13.68181818,13.548,38.972,33.304,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",277.104,437,4.19367792077753,0.689757236832862
"26","HOF026","Bad_03_02_FH","BAD_26","Slovakia","Badin","Bad_03_02",19.0524336,48.6861552,"FH","FH",5.43,656.7810773,33.208032,19.77777778,13.606,24.114,19.631,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",277.104,656,5.25990271717039,0.810942387696601
"27","HOF027","Bad_03_02_1","BAD_27","Slovakia","Badin","Bad_03_02",19.0524336,48.6861552,"1","0_10",10,2937.270153,178.273622,16.47619048,13.404,33.307,26.932,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",277.104,627,5.17754248807256,0.803848076584686
"28","HOF028","Bad_03_02_2","BAD_28","Slovakia","Badin","Bad_03_02",19.0524336,48.6861552,"2","10_20",20,2250.798275,157.0324378,14.33333333,13.482,37.195,31.28,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",277.104,504,4.46374391887161,0.717346598349546
"29","HOF029","Bad_03_02_3","BAD_29","Slovakia","Badin","Bad_03_02",19.0524336,48.6861552,"3","20_40",40,3352.423218,245.6230873,13.64864865,13.356,39.751,33.527,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",277.104,438,4.36576363039742,0.71779126906289
