"","Sample_ID","IMIC_Sample_ID","Extraction_Sample_ID","Country","Forest_Stand","Plot_ID","Longitude","Latitude","Soil_Horizon","Soil_Horizon_depth_ranges","Soil_depth_horizon_in_cm","C_in_g_per_m_square","N_in_g_per_m_square","CN_ratio_g_per_m_square","empty.F50","wet.F50","dry.F50","ph_stand_ranges","elevation_stand_ranges","slope_stand_ranges","aspect_stand_ranges","mean_annual_precipitation_stand_ranges","mean_annual_temp_stand_ranges","stand_area","mean_height_of_dominant_tree_in_stand","Total_C_in_Mg_per_ha","richness","shannon","evenness"
"1","HOF001","Bad_01_01_FH","BAD_1","Slovakia","Badin","Bad_01_01",19.0531825,48.6880634,"FH","FH",4.5,362.4369044,13.84291705,26.18211921,13.133,17.162,15.052,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,454,4.65260913003742,0.760466690775509
"2","HOF002","Bad_01_01_1","BAD_2","Slovakia","Badin","Bad_01_01",19.0531825,48.6880634,"1","0_10",10,2913.463606,182.4038106,15.97260274,13.143,29.515,24.34,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,386,4.14580298071218,0.696090696157592
"3","HOF003","Bad_01_01_2","BAD_3","Slovakia","Badin","Bad_01_01",19.0531825,48.6880634,"2","10_20",20,2201.044581,164.5998556,13.37209302,13.221,34.129,28.931,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,295,3.97722418127681,0.699356675924929
"4","HOF004","Bad_01_01_3","BAD_4","Slovakia","Badin","Bad_01_01",19.0531825,48.6880634,"3","20_40",40,2278.161212,160.4338882,14.2,13.249,35.714,30.798,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,250,3.38455193330108,0.612981235156778
"5","HOF005","Bad_01_01_4","BAD_5","Slovakia","Badin","Bad_01_01",19.0531825,48.6880634,"4","40_80",80,2337.138924,184.95344,12.63636364,13.168,37.306,31.692,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,358,4.13417406429161,0.703027102110011
"6","HOF006","Bad_01_02_FH","BAD_6","Slovakia","Badin","Bad_01_02",19.0535446,48.6880856,"FH","FH",3.62,481.8614457,18.73892864,25.71446078,13.154,18.577,15.851,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,466,4.3530303081169,0.708479620788078
"7","HOF007","Bad_01_02_1","BAD_7","Slovakia","Badin","Bad_01_02",19.0535446,48.6880856,"1","0_10",10,2248.483307,140.7712533,15.97260274,13.184,32.711,26.879,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,379,4.33312633909908,0.729785249206565
"8","HOF008","Bad_01_02_2","BAD_8","Slovakia","Badin","Bad_01_02",19.0535446,48.6880856,"2","10_20",20,1534.48596,110.03097,13.94594595,13.309,35.744,30.578,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,288,3.26699100728471,0.576905139766449
"9","HOF009","Bad_01_02_3","BAD_9","Slovakia","Badin","Bad_01_02",19.0535446,48.6880856,"3","20_40",40,1651.59531,120.3591724,13.72222222,13.178,38.47,33.461,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,265,3.32545528586714,0.595988585393444
"10","HOF010","Bad_01_02_4","BAD_10","Slovakia","Badin","Bad_01_02",19.0535446,48.6880856,"4","40_80",80,1549.74587,118.2009562,13.11111111,13.251,41.172,36.05,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",356.447,368,3.64034038085673,0.616162707760661
"11","HOF011","Bad_02_01_FH","BAD_11","Slovakia","Badin","Bad_02_01",19.0539925,48.6890174,"FH","FH",12.12,2476.294454,73.05361412,33.89694656,13.194,25.454,16.934,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,429,3.73727976940304,0.616564601446345
"12","HOF012","Bad_02_01_1","BAD_12","Slovakia","Badin","Bad_02_01",19.0539925,48.6890174,"1","0_10",10,2226.528649,108.8812186,20.44915254,13.678,30.105,23.409,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,328,3.95332176147208,0.682429220561556
"13","HOF013","Bad_02_01_2","BAD_13","Slovakia","Badin","Bad_02_01",19.0539925,48.6890174,"2","10_20",20,1400.98809,72.60595213,19.29577465,13.392,34.11,27.254,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,298,3.74526725832249,0.657399648995376
"14","HOF014","Bad_02_01_3","BAD_14","Slovakia","Badin","Bad_02_01",19.0539925,48.6890174,"3","20_40",40,2535.992304,132.5431518,19.13333333,13.413,38.049,30.907,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,231,3.29321599608035,0.60510166092426
"15","HOF015","Bad_02_01_4","BAD_15","Slovakia","Badin","Bad_02_01",19.0539925,48.6890174,"4","40_80",80,2874.651844,151.993086,18.91304348,13.552,35.43,29.536,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,267,3.29089265909219,0.589000572606418
"16","HOF016","Bad_02_02_FH","BAD_16","Slovakia","Badin","Bad_02_02",19.0536638,48.6887252,"FH","FH",4.12,805.6697538,36.18650933,22.26436782,13.493,20.866,16.47,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,468,4.29178233966674,0.698024635260186
"17","HOF017","Bad_02_02_1","BAD_17","Slovakia","Badin","Bad_02_02",19.0536638,48.6887252,"1","0_10",10,2049.579398,130.3043855,15.72916667,13.538,34.407,28.964,"4.57-6.29","700-850","20-40","N-NE","850-900","5.5-6",30.7,"44",345.515,363,4.09766238101487,0.695178544159669
